sku_surtilec_candidato,referencia_fuente_interna,nombre_fuente_interno,nombre_surtilec_propuesto,descripcion_corta_propuesta,descripcion_larga_propuesta,categoria_surtilec,subcategoria_surtilec,unidad_venta_propuesta,datos_confirmados_por_referencia,datos_pendientes_de_verificacion,coincidencia_catalogo_actual,estado_fuente,estado_imagen,evidencia_interna_url,imagen_interna_url,campos_pendientes
SRT-ENCAU-5x10AWG-CU,,Cable Encauchetado 5X10 AWG Cu,"Cable encauchetado 5 x 10 AWG, cobre","Cable encauchetado con 5 x 10 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 10 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 10 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x10-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79736/2b599f270b61de23.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x8-CU,,Cable Encauchetado 2X8 Cu,"Cable encauchetado 2 x 8, cobre","Cable encauchetado con 2 x 8 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 8 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 8; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x8-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/511/04102b3bce48c0b4.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x10-CU,,Cable Encauchetado 2X10 Cu,"Cable encauchetado 2 x 10, cobre","Cable encauchetado con 2 x 10 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 10 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 10; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x10-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/513/5b16303ef4b8afa1.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x12-CU,,Cable Encauchetado 2X12 Cu,"Cable encauchetado 2 x 12, cobre","Cable encauchetado con 2 x 12 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 12 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 12; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x12-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/514/49188e27e09fed39.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x14-CU,,Cable Encauchetado 2X14 Cu,"Cable encauchetado 2 x 14, cobre","Cable encauchetado con 2 x 14 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 14 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 14; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x14-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/515/d20ceb1beb236bd6.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x16-CU,,Cable Encauchetado 2X16 Cu,"Cable encauchetado 2 x 16, cobre","Cable encauchetado con 2 x 16 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 16 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 16; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x16-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/517/f3594ae1c34bc65f.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-2x18-CU,,Cable Encauchetado 2X18 Cu,"Cable encauchetado 2 x 18, cobre","Cable encauchetado con 2 x 18 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 2 x 18 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 2 x 18; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-2x18-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/518/dfd8299ae51131bc.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-3x8-CU,CBE-10034818,Cable Encauchetado 3X8 Cu,"Cable encauchetado 3 x 8, cobre","Cable encauchetado con 3 x 8 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 3 x 8 y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 3 x 8; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-3x8-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/523/72fa3b142c2a2681.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-AMARILLO-ROLLO,,Alambre Aislado N12 Amarillo X Rollo,"Alambre eléctrico 12 AWG, amarillo, por rollo","Alambre eléctrico calibre 12 AWG en color amarillo, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color amarillo, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: amarillo; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-amarillo-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79717/47fb236c4203dea8.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-AZUL-ROLLO,,Alambre Aislado N12 Azul X Rollo,"Alambre eléctrico 12 AWG, azul, por rollo","Alambre eléctrico calibre 12 AWG en color azul, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color azul, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: azul; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-azul-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79718/5fdeb86f762932ce.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-BLANCO-ROLLO,,Alambre Aislado N12 Blanco X Rollo,"Alambre eléctrico 12 AWG, blanco, por rollo","Alambre eléctrico calibre 12 AWG en color blanco, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color blanco, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: blanco; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-blanco-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79719/9f830ade3caf2956.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-NEGRO-ROLLO,,Alambre Aislado N12 Negro X Rollo,"Alambre eléctrico 12 AWG, negro, por rollo","Alambre eléctrico calibre 12 AWG en color negro, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color negro, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: negro; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-negro-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79720/a2461a049e2a385e.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-ROJO-ROLLO,,Alambre Aislado N12 Rojo X Rollo,"Alambre eléctrico 12 AWG, rojo, por rollo","Alambre eléctrico calibre 12 AWG en color rojo, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color rojo, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: rojo; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-rojo-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79721/aee67ab04303227a.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-VERDE-ROLLO,,Alambre Aislado N12 Verde X Rollo,"Alambre eléctrico 12 AWG, verde, por rollo","Alambre eléctrico calibre 12 AWG en color verde, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color verde, con venta indicada por rollo. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,rollo,configuración: 12 AWG; color: verde; unidad indicada: rollo,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-verde-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79722/3730e890e11db553.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-AMARILLO-METRO,10011483-AM,Alambre Aislado N14 Amarillo X Metro,"Alambre eléctrico 14 AWG, amarillo, por metro","Alambre eléctrico calibre 14 AWG en color amarillo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color amarillo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: amarillo; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/378/3e73669878de5b2b.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-AZUL-METRO,,Alambre Aislado N14 Azul X Metro,"Alambre eléctrico 14 AWG, azul, por metro","Alambre eléctrico calibre 14 AWG en color azul, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color azul, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: azul; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/383/47a60dfd87ffb0cc.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-BLANCO-METRO,,Alambre Aislado N14 Blanco X Metro,"Alambre eléctrico 14 AWG, blanco, por metro","Alambre eléctrico calibre 14 AWG en color blanco, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color blanco, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: blanco; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/388/c82c0e2e4681c142.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-ROJO-METRO,,Alambre Aislado N14 Rojo X Metro,"Alambre eléctrico 14 AWG, rojo, por metro","Alambre eléctrico calibre 14 AWG en color rojo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color rojo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: rojo; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/395/35b82b549dbf89e3.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-NEGRO-METRO,10011483-NG,Alambre Aislado N14 Negro X Metro,"Alambre eléctrico 14 AWG, negro, por metro","Alambre eléctrico calibre 14 AWG en color negro, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color negro, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: negro; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/399/9697d7ee4436b0d2.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-14-VERDE-METRO,,Alambre Aislado N14 Verde X Metro,"Alambre eléctrico 14 AWG, verde, por metro","Alambre eléctrico calibre 14 AWG en color verde, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 14 AWG en color verde, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 14 AWG; color: verde; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n14-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/401/121406621317cfe8.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-AMARILLO-METRO,,Alambre Aislado N12 Amarillo X Metro,"Alambre eléctrico 12 AWG, amarillo, por metro","Alambre eléctrico calibre 12 AWG en color amarillo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color amarillo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: amarillo; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/403/d9de507c1ffe683a.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-AZUL-METRO,,Alambre Aislado N12 Azul X Metro,"Alambre eléctrico 12 AWG, azul, por metro","Alambre eléctrico calibre 12 AWG en color azul, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color azul, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: azul; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/404/de74dbaab503583e.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-BLANCO-METRO,,Alambre Aislado N12 Blanco X Metro,"Alambre eléctrico 12 AWG, blanco, por metro","Alambre eléctrico calibre 12 AWG en color blanco, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color blanco, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: blanco; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/405/13b435c1fdac41f7.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-NEGRO-METRO,,Alambre Aislado N12 Negro X Metro,"Alambre eléctrico 12 AWG, negro, por metro","Alambre eléctrico calibre 12 AWG en color negro, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color negro, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: negro; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/414/a2a95401cdffbf4a.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-ROJO-METRO,ALMAISROJ-12,Alambre Aislado N12 Rojo X Metro,"Alambre eléctrico 12 AWG, rojo, por metro","Alambre eléctrico calibre 12 AWG en color rojo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color rojo, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: rojo; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/416/da13fc335c6c9fb0.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ALAMBRE-12-VERDE-METRO,,Alambre Aislado N12 Verde X Metro,"Alambre eléctrico 12 AWG, verde, por metro","Alambre eléctrico calibre 12 AWG en color verde, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.","<p>Alambre eléctrico calibre 12 AWG en color verde, con venta indicada por metro. Confirma aislamiento, norma, tensión y capacidad en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cable THHN / THWN-2,,metro,configuración: 12 AWG; color: verde; unidad indicada: metro,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo exacto de aislamiento (THHN/THWN-2 u otro); capacidad de corriente; norma y tensión nominal,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/alambre-aislado-n12-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/417/afbc2a81d14b7287.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
